Convinaciones: 	antes	imagen	despues
CJ	cejas (suso)	carl jhonson	entra en caja (agachar)
CK	inclinado (jackson)	zasko	charlie charlie
CL	mueco	klan	clavando-salten
CM	varita majica	cosmo	en el cosmos (universo)
CN	tatuaje (can)	canserbero	comer cono
CO	casco	cooler	flotar
CP	A en frente	capitan america	sacar escudo
CQ	peinado caca	caquita	cagando
CR	cerebro	Cars	carro invisible (bob)
CS	quemado	carlos	rapear
CT	pelos (cara cago)	gato	lamerse
CU	2 antenas gigantes	Cucaracha Grande	patalear (boca arriba)
CV	calvo	julio profe	cabezaso
CW	ojos negros	crown	clonarse
DA	ojos (darth bane)	daniela	sonrisa fingida (foto)
DB	orejas grandes	doby	señalar
DC	joroba	denzel crocker	retorcerse (padrinos)
DE	sin lengua	dende	curacion
DF	pelo (5 puntas)	doofenshmirtz	vista lejos (malvados y…)
DG	mochila	diego 	"aquí toy"...
DH	collar frente	darth hexid	duchandose
DI	medellin	dinosaurio	aplaudir(no puede)
DJ	daga	prince of persia	corre pared
DK	cachos (infinito)	dahaka	escena blanco y negro
DL	peinado (normal)	dilson	hacer 31s
DM	cuernos (7)	darth maul	rota (sable luz)
DN	sin ojos	darth nihilus	humos alrededor
DO	bolsita	doctor chapatin	me dio cosa
DP	3 narices	darth plagueis	sacan 2 sables lacer
DQ	crespo	duque 	titere
DR	colmillos	dracula	abraza con capa
DS	anteojos	dash	dados
DT	pelo (mango)	donal trump	discurso
DU	confite	julieth	dice "papa"
DV	corona	divino niño	alza manos
DW	pies largos	darwin	manos en cachete
EA	guantes	elastigirl	se estira
EB	omnitrix	ben 10	convertirse en bola 
EC	audifonos (grandes)	eco	gritar (ecooooo)
ED	tablon	eddy	dedo en nariz
EF	zapatos navideños	elfo	regalo
EG	boso de eggMan	eggMan	pose de pelea
EH	manzana en boca (lechona)	lechona	rodeado de ensalada
EI	erizado	erizo	agacha (chuzos al aire)
EJ	uniforme (ejercito)	ejecutor	velitas
EK	gafas verdes	ekko	espada grande
EL	colmillos	elefante	huele con trompa
EM	dormido Zzzz	emojis	riendose
EN	sombrero "?" (enigma)	enojon	gritar rabia (enojon)
EO	pelo emo	emo	cortar venas
EP	empanada	emperatriz	poder (2 espadas)
EQ	square-one	hector	crecen pecas
ER	cabeza tabla	crash	peos 
ES	churruzcos	estiven	sale extrella en pecho
ET	uno ojo rojo	eto (anime)	rayos por los ojos
EU	dientes afuera	eugenio	lee periodico
EV	sin cuello	eva (wall-e)	escaner (cuello)
EW	calsoncillos en cara	ewok	inmovil
FA	mano en cabesa	fantasmin	fantasmas (llegan)
FB	fab	ferb	bailar (cintura para arriba)
FC	listo pa correr	falco	dap
FD	falda	fido	tomar 7up
FE	peinado de gallina	fenix	prender en fuego
FG	sombrero decente	willy fog	binoculares
FH	ficha	cacha	doble tempo
FI	cabeza triangular	phineas	buscar (perry)
FJ	faja	fujoshi	yaoi
FK	fokiu	foca	fraking
FL	flor	flor (tia)	florear (soga)
FM	cigarrillo	falmer	fumigando
FN	placa diamante	fernanfloo	reto botella
FO	parche pirata	foxy	escrimer
